Lokasi Dealer,Tipe,Sub Kategori,Warna,Jenis Kelamin,Kota,Propinsi,Usia,Jenis Pembayaran,Pekerjaan,Pendidikan,Harga Jual
SIDOARJO,ALL NEW SOUL GT (2SX1),MATIC,MERAH,PEREMPUAN,GRESIK,JAWA TIMUR,35,KREDIT,KARYAWAN SWASTA,SMA,16950000
SURABAYA,ALL NEW SOUL GT (2SX1),MATIC,MERAH,LAKI-LAKI,SURABAYA,JAWA TIMUR,35,KREDIT,KARYAWAN SWASTA,SMA,16950000
TUBAN,ALL NEW SOUL GT (2SX1),MATIC,PUTIH,PEREMPUAN,TUBAN,JAWA TIMUR,42,KREDIT,IBU RUMAH TANGGA,SMA,16950000
BOJONEGORO,ALL NEW SOUL GT (2SX1),MATIC,PUTIH,PEREMPUAN,BOJONEGORO,JAWA TIMUR,24,TUNAI,PELAJAR/MAHASISWA,SMA,16950000
SURABAYA,ALL NEW SOUL GT (2SX1),MATIC,PUTIH,LAKI-LAKI,SURABAYA,JAWA TIMUR,42,KREDIT,KARYAWAN SWASTA,SMA,16950000
SURABAYA,ALL NEW SOUL GT (2SX1),MATIC,PUTIH,LAKI-LAKI,SURABAYA,JAWA TIMUR,52,TUNAI,KARYAWAN SWASTA,SMA,16950000
SURABAYA,ALL NEW SOUL GT (2SX1),MATIC,PUTIH,PEREMPUAN,SURABAYA,JAWA TIMUR,47,TUNAI,IBU RUMAH TANGGA,SMA,16950000
SIDOARJO,VEGA FORCE DB CW (1FD6),MOPED,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,52,KREDIT,KARYAWAN SWASTA,SMA,15500000
SIDOARJO,VEGA FORCE DB CW (1FD6),MOPED,HITAM,LAKI-LAKI,SIDOARJO,JAWA TIMUR,59,TUNAI,KARYAWAN SWASTA,SMA,15500000
BOJONEGORO,VEGA RR DISK BRAKE,MOPED,PUTIH,LAKI-LAKI,BOJONEGORO,JAWA TIMUR,36,TUNAI,LAIN-LAIN,SMA,13800000
JOMBANG,NEW VIXION ADVANCE (2TP1),NAKED,HITAM,LAKI-LAKI,LAMONGAN,JAWA TIMUR,42,KREDIT,WIRASWASTA,SMA,25825000
SURABAYA,NEW VIXION ADVANCE (2TP1),NAKED,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,36,KREDIT,KARYAWAN SWASTA,SMA,25825000
SUMENEP,NEW VIXION ADVANCE (2TP1),NAKED,HITAM,LAKI-LAKI,SAMPANG,JAWA TIMUR,36,TUNAI,WIRASWASTA,SMA,25825000
JOMBANG,NEW VIXION ADVANCE (2TP1),NAKED,HITAM,LAKI-LAKI,JOMBANG,JAWA TIMUR,34,TUNAI,KARYAWAN SWASTA,SMA,25825000
JOMBANG,NEW VIXION ADVANCE (2TP1),NAKED,HITAM,LAKI-LAKI,JOMBANG,JAWA TIMUR,37,TUNAI,KARYAWAN SWASTA,SMA,25825000
JOMBANG,NEW VIXION ADVANCE (2TP1),NAKED,HITAM,LAKI-LAKI,JOMBANG,JAWA TIMUR,44,KREDIT,KARYAWAN SWASTA,SMA,25825000
BOJONEGORO,NEW VIXION ADVANCE (2TP1),NAKED,HITAM,LAKI-LAKI,BOJONEGORO,JAWA TIMUR,48,KREDIT,WIRASWASTA,SMA,25825000
JOMBANG,NEW VIXION ADVANCE (2TP1),NAKED,HITAM,LAKI-LAKI,JOMBANG,JAWA TIMUR,45,KREDIT,LAIN-LAIN,SMA,25825000
SURABAYA,NEW VIXION ADVANCE (2TP1),NAKED,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,21,KREDIT,PELAJAR/MAHASISWA,SMA,25825000
JOMBANG,NEW VIXION ADVANCE (2TP1),NAKED,HITAM,LAKI-LAKI,LAMONGAN,JAWA TIMUR,28,TUNAI,PELAJAR/MAHASISWA,SMA,25825000
JOMBANG,NEW VIXION ADVANCE (2TP1),NAKED,HITAM,PEREMPUAN,JOMBANG,JAWA TIMUR,36,TUNAI,IBU RUMAH TANGGA,SMA,25825000
SIDOARJO,NEW VIXION ADVANCE (2TP1),NAKED,HITAM,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,31,TUNAI,KARYAWAN SWASTA,SMA,25825000
SIDOARJO,NEW VIXION ADVANCE (2TP1),NAKED,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,22,KREDIT,LAIN-LAIN,SMA,25825000
SURABAYA,NEW VIXION ADVANCE (2TP1),NAKED,HITAM,LAKI-LAKI,GRESIK,JAWA TIMUR,48,TUNAI,KARYAWAN SWASTA,SARJANA (S1),25825000
SIDOARJO,NEW VIXION ADVANCE (2TP1),NAKED,HITAM,LAKI-LAKI,GRESIK,JAWA TIMUR,30,TUNAI,PELAJAR/MAHASISWA,SMA,25825000
