Lokasi Dealer,Tipe,Sub Kategori,Warna,Jenis Kelamin,Kota,Propinsi,Usia,Jenis Pembayaran,Pekerjaan,Pendidikan,Harga Jual
BOJONEGORO,NEW VIXION ADVANCE GP - MOVISTAR (2TP3),NAKED,BIRU,PEREMPUAN,LAMONGAN,JAWA TIMUR,30,TUNAI,LAIN-LAIN,SMA,26225000
SIDOARJO,NEW VIXION ADVANCE GP - MOVISTAR (2TP3),NAKED,BIRU,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,25,KREDIT,LAIN-LAIN,SMA,26225000
SIDOARJO,NEW VIXION ADVANCE GP - MOVISTAR (2TP3),NAKED,BIRU,LAKI-LAKI,SURABAYA,JAWA TIMUR,46,KREDIT,KARYAWAN SWASTA,SMA,26225000
MOJOKERTO,NEW VIXION ADVANCE GP - MOVISTAR (2TP3),NAKED,BIRU,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,45,TUNAI,WIRASWASTA,SMA,26225000
SIDOARJO,NEW VIXION ADVANCE GP - MOVISTAR (2TP3),NAKED,BIRU,LAKI-LAKI,SURABAYA,JAWA TIMUR,37,KREDIT,KARYAWAN SWASTA,AKADEMI/DIPLOMA,26225000
JOMBANG,NEW VIXION ADVANCE GP - MOVISTAR (2TP3),NAKED,BIRU,LAKI-LAKI,JOMBANG,JAWA TIMUR,29,TUNAI,WIRASWASTA,SMA,26225000
JOMBANG,NEW VIXION ADVANCE GP - MOVISTAR (2TP3),NAKED,BIRU,LAKI-LAKI,JOMBANG,JAWA TIMUR,28,TUNAI,KARYAWAN SWASTA,SMA,26225000
JOMBANG,NEW VIXION ADVANCE GP - MOVISTAR (2TP3),NAKED,BIRU,LAKI-LAKI,JOMBANG,JAWA TIMUR,39,KREDIT,KARYAWAN SWASTA,SMA,25825000
MOJOKERTO,NEW VIXION ADVANCE GP - MOVISTAR (2TP3),NAKED,BIRU,LAKI-LAKI,SIDOARJO,JAWA TIMUR,32,TUNAI,KARYAWAN SWASTA,SMA,26225000
JOMBANG,NEW VIXION ADVANCE GP - MOVISTAR (2TP3),NAKED,BIRU,PEREMPUAN,JOMBANG,JAWA TIMUR,37,KREDIT,KARYAWAN SWASTA,SMA,26225000
GRESIK,NEW VIXION ADVANCE GP - MOVISTAR (2TP3),NAKED,BIRU,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,36,KREDIT,KARYAWAN SWASTA,SMA,26225000
MOJOKERTO,NEW VIXION ADVANCE GP - MOVISTAR (2TP3),NAKED,BIRU,PEREMPUAN,LAMONGAN,JAWA TIMUR,37,TUNAI,WIRASWASTA,SMA,26225000
MOJOKERTO,NEW VIXION ADVANCE GP - MOVISTAR (2TP3),NAKED,BIRU,PEREMPUAN,MOJOKERTO,JAWA TIMUR,41,TUNAI,IBU RUMAH TANGGA,SMA,26225000
SIDOARJO,X-RIDE (2BU1),MATIC,BIRU,LAKI-LAKI,SIDOARJO,JAWA TIMUR,23,KREDIT,PELAJAR/MAHASISWA,SARJANA (S1),16405000
SURABAYA,X-RIDE (2BU1),MATIC,BIRU,LAKI-LAKI,SURABAYA,JAWA TIMUR,25,KREDIT,LAIN-LAIN,SMA,16405000
SURABAYA,X-RIDE (2BU1),MATIC,HITAM,LAKI-LAKI,SIDOARJO,JAWA TIMUR,35,KREDIT,KARYAWAN SWASTA,SARJANA (S1),16405000
JOMBANG,X-RIDE (2BU1),MATIC,HITAM,LAKI-LAKI,JOMBANG,JAWA TIMUR,27,KREDIT,KARYAWAN SWASTA,SMA,16405000
